Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (Категория),Comment,Status Category,Status Category Changed
Форма зворотного зв’язку приймає некоректні дані без валідації,ZVIR-3,10221,Bug,To Do,ZVIR,Zviropolis,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,High,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 8:41 PM,11/Feb/26 8:41 PM,,,,0,"h3. Description

Форма дозволяє відправити запит із довільним текстом замість номера телефону.
Відсутня перевірка формату введених даних.

h3. Preconditions

Відкрита форма зворотного дзвінка.

h3. STR:

# Відкрити [https://zpolis.com.ua/|https://zpolis.com.ua/|smart-link] 
# Натиснути кнопку зворотного зв’язку / дзвінка.
# У полі номера телефону ввести довільний текст або символи.
# Натиснути кнопку відправки.

h3. AR:

Форма приймає некоректні дані та показує повідомлення про успішну відправку.

h3. ER:

Форма повинна перевіряти формат номера телефону та показувати помилку при некоректному введенні.","Android Emulator
Browser: Chrome (mobile)

[https://zpolis.com.ua/|https://zpolis.com.ua/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 8:40 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-11 193813.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10222,11/Feb/26 8:40 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-11 193906.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10223,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@737ce47f,,,,,,,,,,,,,,,,0|i00067:,,,11/Feb/26 12:00 AM,,,,,,,,,,,,,To Do,11/Feb/26 8:41 PM
Невідповідність мови інтерфейсу після натискання кнопки «Подзвонити»,ZVIR-2,10220,Bug,To Do,ZVIR,Zviropolis,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Low,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 8:37 PM,11/Feb/26 8:37 PM,11/Feb/26 8:41 PM,,,0,"h3. Description

При виборі російської мови сайту після натискання кнопки *«Позвонить»* відкривається форма українською мовою, що порушує узгодженість локалізації.

h3. Preconditions

На сайті обрано російську мову.

h3. STR:

# Відкрити *zveropolis.site*.
# Перемкнути мову сайту на російську.
# Натиснути кнопку *«Позвонить»* у хедері.

h3. AR:

Форма відображається українською мовою.

h3. ER:

Форма повинна відображатися російською мовою відповідно до обраної локалізації.","Android Emulator
Browser: Chrome (mobile)",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 8:36 PM;e4457d18-b369-48c9-923a-997c53c725c8;2.webm;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10219,11/Feb/26 8:36 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-11 203544.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10218,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3df16f98,,,,,,,,,,,,,,,,0|i0005z:,,,11/Feb/26 12:00 AM,,,,,,,,,,,,,To Do,11/Feb/26 8:37 PM
Зображення на головній сторінці не завантажуються або завантажуються дуже довго,ZVIR-1,10219,Bug,To Do,ZVIR,Zviropolis,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Medium,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 8:29 PM,11/Feb/26 8:29 PM,,,,0,"h3. Description

Після відкриття головної сторінки сайту частина зображень відображається некоректно (порожні блоки або нескінченне завантаження).
Проблема спостерігається тривалий час навіть при стабільному інтернет-з’єднанні.

h3. Preconditions

Користувач відкрив сайт  [https://zpolis.com.ua/|https://zpolis.com.ua/|smart-link]  у мобільному браузері на емуляторі Android.

h3. STR

# Відкрити браузер у емуляторі Android.
# Перейти на сайт [https://zpolis.com.ua/|https://zpolis.com.ua/|smart-link] 
# Дочекатися повного завантаження сторінки.
# Переглянути зображення на головній сторінці.

h3. AR:

Деякі зображення не завантажуються або завантажуються дуже довго.

h3. ER:

Усі зображення повинні завантажуватися швидко та відображатися коректно.","Android Emulator
Browser: Chrome (mobile)",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 8:28 PM;e4457d18-b369-48c9-923a-997c53c725c8;untitled.webm;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10214,11/Feb/26 8:28 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-11 192257.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10215,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5531d926,,,,,,,,,,,,,,,,0|i0005r:,,,11/Feb/26 12:00 AM,,,,,,,,,,,,,To Do,11/Feb/26 8:29 PM
Зображення на сторінках відображаються розмитими та пікселізованими,VET-6,10186,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Medium,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 1:51 PM,11/Feb/26 1:51 PM,,,,0,"h3. Preconditions

Відкрити сторінки «Головна» та «Інформація».

[https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] 

h3. STR:

# Переглянути головний банер.
# Перейти у розділ «Інформація».

[https://dpcozt.com.ua/category/zagalna-informacziya/|https://dpcozt.com.ua/category/zagalna-informacziya/|smart-link]  

# Переглянути зображення у списку статей та всередині статті.

h3. AR:

Зображення виглядають розмитими, з пікселізацією та поганою якістю.

h3. ER:

Зображення повинні бути чіткими та адаптованими до мобільного екрану.","iPhone 13, iOS, Safari / Google Chrome (mobile)

[https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] 

[https://dpcozt.com.ua/category/zagalna-informacziya/|https://dpcozt.com.ua/category/zagalna-informacziya/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 1:51 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-15.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10179,11/Feb/26 1:51 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-16 (3).jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10178,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@377ab1ca,,,,,,,,,,,,,,,,0|i0005j:,,,11/Feb/26 12:00 AM,,,,,,,,,,,,,To Do,11/Feb/26 1:51 PM
Кнопка «Вгору» перекриває основний текст сторінки,VET-5,10185,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Low,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 1:43 PM,11/Feb/26 1:43 PM,11/Feb/26 7:54 PM,,26/Feb/26 12:00 AM,0,"h3. Preconditions

Відкрити будь-яку сторінку зі статтею.

[https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|smart-link] 

h3. STR:

# Прокрутити сторінку вниз.
# Звернути увагу на кнопку прокрутки «вгору».

h3. AR:

Кнопка перекриває частину тексту та заважає читанню.

h3. ER:

Кнопка не повинна перекривати контент сторінки.","iPhone 13, iOS, Safari / Google Chrome (mobile)",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 1:42 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-16 (2).jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10175,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d2f6cfc,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,To Do,11/Feb/26 1:43 PM
Повідомлення в полі пошуку відображається російською мовою на українській версії сайту.,VET-4,10184,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Low,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 1:35 PM,11/Feb/26 1:35 PM,11/Feb/26 1:36 PM,,11/Feb/26 12:00 AM,0,"*Preconditions:*
Сайт відкритий українською мовою.

[https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] 

*STR:*

Перейти в розділ “Послуги” або любий інший

Встановити курсор у поле пошук

З пустим полем натиснути кнопку “Пошук”

*AR:*

З’являється текст російською мовою. “Заполните это поле”

*ER:*

З’являється текст російською мовою.","iPhone 13, iOS 17, Safari / Chrome (mobile)

[https://dpcozt.com.ua/category/blog/|https://dpcozt.com.ua/category/blog/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 1:35 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-17 (2).jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10173,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6494db05,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,To Do,11/Feb/26 1:35 PM
При відкритті розділу «Контакти» одночасно підсвічуються «Контакти» та «Інформація».,VET-3,10151,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Low,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 1:25 PM,11/Feb/26 1:25 PM,11/Feb/26 1:26 PM,,11/Feb/26 12:00 AM,0,"*Preconditions:*
Відкрита головна сторінка сайту.

*STR:*

Відкрити сайт  [https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] 

Натиснути пункт меню «Контакти» у футері.

*AR:*

Активними відображаються два пункти меню.

*ER:*

Активним має бути лише поточний розділ.","iPhone 13, iOS 17, Safari / Chrome (mobile)

[https://dpcozt.com.ua/kontakty/|https://dpcozt.com.ua/kontakty/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 1:23 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-16.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10171,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21c26448,,,,,,,,,,,,,,,,0|i0004v:,,,11/Feb/26 12:00 AM,,,,,,,,,,,,,To Do,11/Feb/26 1:25 PM
Світло-сірий текст статей має недостатній контраст із фоном і погано читається.,VET-2,10150,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Medium,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 1:16 PM,11/Feb/26 1:16 PM,11/Feb/26 1:23 PM,,,0,"Відкрита сторінка зі статтями на мобільному пристрої. 

*STR:*

# Перейти до розділу зі статтями.

[https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|smart-link] 

# Переглянути основний текст.

*AR:*

Текст має низьку видимість, особливо при зміні яскравості екрана.

*ER:*

Контраст тексту повинен відповідати стандартам доступності (WCAG).","iPhone 13, iOS 17, Safari / Chrome (mobile)

[https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|https://dpcozt.com.ua/litni-strupy-u-sobak-prychyny-likuvannya-ta-profilaktyka/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 1:16 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-37.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10169,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@313fef86,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,,To Do,11/Feb/26 1:16 PM
Текст на головному банері стає нечитабельним при повороті екрана мобільного пристрою в горизонтальний режим.,VET-1,10117,Bug,To Do,VET,Vetclinic,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Medium,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,11/Feb/26 12:33 PM,11/Feb/26 12:33 PM,11/Feb/26 1:18 PM,,,0,"*Preconditions:*
Відкрита головна сторінка сайту на мобільному пристрої. [https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] 

*STR:*

# Відкрити головну сторінку сайту.
# Повернути телефон у горизонтальний режим.

*AR:*

Текст на банері спотворюється та стає важким для читання.

*ER:*

Текст має коректно адаптуватися до горизонтальної орієнтації екрана.","iPhone 13, iOS 17, Safari / Chrome (mobile)

[https://dpcozt.com.ua/|https://dpcozt.com.ua/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,11/Feb/26 12:31 PM;e4457d18-b369-48c9-923a-997c53c725c8;photo_2026-02-11_12-23-17.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10135,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60c800b,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,To Do,11/Feb/26 12:33 PM
Календар у формі запису відображається російською мовою для всіх мов інтерфейсу (UA/EN).,OX-5,10084,Bug,To Do,OX,Oxfordmedical,software,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,Medium,,,,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,07/Feb/26 10:49 PM,07/Feb/26 10:49 PM,07/Feb/26 10:58 PM,,07/Feb/26 12:00 AM,0,"Після зміни мови сайту (українська або англійська) календар у формі вибору дати/часу все одно залишається російською (назви днів/місяців та підказки).

*STR:*

# Відкрити сайт Oxford Medical.  [https://oxford-med.com.ua/ua/|https://oxford-med.com.ua/ua/|smart-link] 
# Перемкнути мову інтерфейсу на українську або англійську.
# Відкрити бургер-меню.
# Натиснути «Записатися через кол-центр».
# У полі «Бажана дата прийому» натиснути на іконку календаря.

*Примітка:*
Помилка також відтворюється при переході через вкладку
«Відділення» → сторінка відділення → блок запису на прийом.","Windows 10, Chrome, Desktop
URL: сайт Oxford Medical

[https://oxford-med.com.ua/ua/zapysatys-cherez-kol-tsentr/|https://oxford-med.com.ua/ua/zapysatys-cherez-kol-tsentr/|smart-link] ",Alona Solopa,712020:53b65d23-23df-4e76-be2a-8b1e7d5d8e3c,,,,,,,,,07/Feb/26 10:46 PM;e4457d18-b369-48c9-923a-997c53c725c8;Приватна клініка Оксфорд Медікал - медичні послуги в Києві в Oxford Medical - Google Chrome 2026-02-07 22-45-35.mp4;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10100,07/Feb/26 10:48 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-07 224800.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10101,07/Feb/26 10:49 PM;e4457d18-b369-48c9-923a-997c53c725c8;Снимок экрана 2026-02-07 224837.jpg;https://alonasolopa.atlassian.net/rest/api/3/attachment/content/10099,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60a2586f,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,,To Do,07/Feb/26 10:49 PM
